signature,maxTargetSdk,presentAfter,publicAlternatives,returnType,trackingBug
|Landroid/system/OsConstants;->RTMGRP_IPV6_ROUTE:I|,||,||,||,||,||
|Landroid/system/OsConstants;->RTMGRP_LINK:I|,||,||,||,||,||
|Landroid/system/OsConstants;->RTMGRP_NOTIFY:I|,||,||,||,||,||
|Landroid/system/OsConstants;->RTMGRP_TC:I|,||,||,||,||,||
|Landroid/system/OsConstants;->SO_DOMAIN:I|,||,||,||,||,||
|Landroid/system/OsConstants;->SO_PROTOCOL:I|,||,||,||,||,||
|Landroid/system/OsConstants;->SPLICE_F_MORE:I|,||,||,||,||,||
|Landroid/system/OsConstants;->SPLICE_F_MOVE:I|,||,||,||,||,||
|Landroid/system/OsConstants;->SPLICE_F_NONBLOCK:I|,||,||,||,||,||
|Landroid/system/OsConstants;->TIOCOUTQ:I|,||,||,||,||,||
|Landroid/system/OsConstants;->UDP_ENCAP:I|,||,||,||,||,||
|Landroid/system/OsConstants;->UDP_ENCAP_ESPINUDP:I|,||,||,||,||,||
|Landroid/system/OsConstants;->UDP_ENCAP_ESPINUDP_NON_IKE:I|,||,||,||,||,||
|Landroid/system/OsConstants;->UNIX_PATH_MAX:I|,||,||,||,||,||
|Landroid/system/OsConstants;->XATTR_CREATE:I|,||,||,||,||,||
|Landroid/system/OsConstants;->XATTR_REPLACE:I|,||,||,||,||,||
|Landroid/system/OsConstants;->_LINUX_CAPABILITY_VERSION_3:I|,||,||,||,||,||
|Landroid/system/OsConstants;->initConstants()V|,||,||,||,||,||
|Landroid/system/OsConstants;->placeholder()I|,||,||,||,||,||
|Landroid/system/PacketSocketAddress;-><init>(I[B)V|,||,||,||,||,||
|Landroid/system/PacketSocketAddress;-><init>(SI)V|,||,||,||,||,||
|Lcom/android/okhttp/Connection;->getSocket()Ljava/net/Socket;|,||,||,||,||,||
|Lcom/android/okhttp/ConnectionPool;->connections:Ljava/util/Deque;|,||,||,||,||,||
|Lcom/android/okhttp/ConnectionPool;->keepAliveDurationNs:J|,||,||,||,||,||
|Lcom/android/okhttp/ConnectionPool;->maxIdleConnections:I|,||,||,||,||,||
|Lcom/android/okhttp/ConnectionPool;->systemDefault:Lcom/android/okhttp/ConnectionPool;|,||,||,||,||,||
|Lcom/android/okhttp/HttpHandler;-><init>()V|,||,||,||,||,||
|Lcom/android/okhttp/HttpUrl$Builder;->build()Lcom/android/okhttp/HttpUrl;|,||,||,||,||,||
|Lcom/android/okhttp/HttpUrl;->encodedPath()Ljava/lang/String;|,||,||,||,||,||
|Lcom/android/okhttp/HttpUrl;->newBuilder()Lcom/android/okhttp/HttpUrl$Builder;|,||,||,||,||,||
|Lcom/android/okhttp/HttpUrl;->parse(Ljava/lang/String;)Lcom/android/okhttp/HttpUrl;|,||,||,||,||,||
|Lcom/android/okhttp/HttpUrl;->query()Ljava/lang/String;|,||,||,||,||,||
|Lcom/android/okhttp/HttpsHandler;-><init>()V|,||,||,||,||,||
|Lcom/android/okhttp/OkHttpClient;-><init>()V|,||,||,||,||,||
|Lcom/android/okhttp/OkHttpClient;->DEFAULT_PROTOCOLS:Ljava/util/List;|,||,||,||,||,||
|Lcom/android/okhttp/OkHttpClient;->connectionPool:Lcom/android/okhttp/ConnectionPool;|,||,||,||,||,||
|Lcom/android/okhttp/OkHttpClient;->dns:Lcom/android/okhttp/Dns;|,||,||,||,||,||
|Lcom/android/okhttp/OkHttpClient;->getConnectionPool()Lcom/android/okhttp/ConnectionPool;|,||,||,||,||,||
|Lcom/android/okhttp/OkHttpClient;->getCookieHandler()Ljava/net/CookieHandler;|,||,||,||,||,||
|Lcom/android/okhttp/OkHttpClient;->getHostnameVerifier()Ljavax/net/ssl/HostnameVerifier;|,||,||,||,||,||
|Lcom/android/okhttp/OkHttpClient;->getProxy()Ljava/net/Proxy;|,||,||,||,||,||
|Lcom/android/okhttp/OkHttpClient;->getProxySelector()Ljava/net/ProxySelector;|,||,||,||,||,||
|Lcom/android/okhttp/OkHttpClient;->getSslSocketFactory()Ljavax/net/ssl/SSLSocketFactory;|,||,||,||,||,||
|Lcom/android/okhttp/OkHttpClient;->setProtocols(Ljava/util/List;)Lcom/android/okhttp/OkHttpClient;|,||,||,||,||,||
|Lcom/android/okhttp/OkHttpClient;->setRetryOnConnectionFailure(Z)V|,||,||,||,||,||
|Lcom/android/okhttp/Request;->headers:Lcom/android/okhttp/Headers;|,||,||,||,||,||
|Lcom/android/okhttp/Request;->method:Ljava/lang/String;|,||,||,||,||,||
|Lcom/android/okhttp/Request;->url:Lcom/android/okhttp/HttpUrl;|,||,||,||,||,||
|Lcom/android/okhttp/Response;->code:I|,||,||,||,||,||
|Lcom/android/okhttp/Response;->headers:Lcom/android/okhttp/Headers;|,||,||,||,||,||
|Lcom/android/okhttp/Response;->message:Ljava/lang/String;|,||,||,||,||,||
|Lcom/android/okhttp/Response;->networkResponse:Lcom/android/okhttp/Response;|,||,||,||,||,||
|Lcom/android/okhttp/Response;->protocol:Lcom/android/okhttp/Protocol;|,||,||,||,||,||
|Lcom/android/okhttp/internal/Internal;-><init>()V|,||,||,||,||,||
|Lcom/android/okhttp/internal/Internal;->addLenient(Lcom/android/okhttp/Headers$Builder;Ljava/lang/String;)V|,||,||,||,||,||
|Lcom/android/okhttp/internal/Internal;->addLenient(Lcom/android/okhttp/Headers$Builder;Ljava/lang/String;Ljava/lang/String;)V|,||,||,||,||,||
|Lcom/android/okhttp/internal/Internal;->apply(Lcom/android/okhttp/ConnectionSpec;Ljavax/net/ssl/SSLSocket;Z)V|,||,||,||,||,||
|Lcom/android/okhttp/internal/Internal;->callEngineGetStreamAllocation(Lcom/android/okhttp/Call;)Lcom/android/okhttp/internal/http/StreamAllocation;|,||,||,||,||,||
|Lcom/android/okhttp/internal/Internal;->callEnqueue(Lcom/android/okhttp/Call;Lcom/android/okhttp/Callback;Z)V|,||,||,||,||,||
|Lcom/android/okhttp/internal/Internal;->connectionBecameIdle(Lcom/android/okhttp/ConnectionPool;Lcom/android/okhttp/internal/io/RealConnection;)Z|,||,||,||,||,||
|Lcom/android/okhttp/internal/Internal;->get(Lcom/android/okhttp/ConnectionPool;Lcom/android/okhttp/Address;Lcom/android/okhttp/internal/http/StreamAllocation;)Lcom/android/okhttp/internal/io/RealConnection;|,||,||,||,||,||
|Lcom/android/okhttp/internal/Internal;->getHttpUrlChecked(Ljava/lang/String;)Lcom/android/okhttp/HttpUrl;|,||,||,||,||,||
|Lcom/android/okhttp/internal/Internal;->instance:Lcom/android/okhttp/internal/Internal;|,||,||,||,||,||
|Lcom/android/okhttp/internal/Internal;->internalCache(Lcom/android/okhttp/OkHttpClient;)Lcom/android/okhttp/internal/InternalCache;|,||,||,||,||,||
|Lcom/android/okhttp/internal/Internal;->put(Lcom/android/okhttp/ConnectionPool;Lcom/android/okhttp/internal/io/RealConnection;)V|,||,||,||,||,||
|Lcom/android/okhttp/internal/Internal;->routeDatabase(Lcom/android/okhttp/ConnectionPool;)Lcom/android/okhttp/internal/RouteDatabase;|,||,||,||,||,||
|Lcom/android/okhttp/internal/Internal;->setCache(Lcom/android/okhttp/OkHttpClient;Lcom/android/okhttp/internal/InternalCache;)V|,||,||,||,||,||
|Lcom/android/okhttp/internal/Platform;->get()Lcom/android/okhttp/internal/Platform;|,||,||,||,||,||
|Lcom/android/okhttp/internal/Platform;->logW(Ljava/lang/String;)V|,||,||,||,||,||
|Lcom/android/okhttp/internal/Util;->EMPTY_BYTE_ARRAY:[B|,||,||,||,||,||
|Lcom/android/okhttp/internal/Util;->UTF_8:Ljava/nio/charset/Charset;|,||,||,||,||,||
|Lcom/android/okhttp/internal/Util;->closeAll(Ljava/io/Closeable;Ljava/io/Closeable;)V|,||,||,||,||,||
|Lcom/android/okhttp/internal/Util;->closeQuietly(Ljava/io/Closeable;)V|,||,||,||,||,||
|Lcom/android/okhttp/internal/Version;->userAgent()Ljava/lang/String;|,||,||,||,||,||
|Lcom/android/okhttp/internal/http/HeaderParser;->skipUntil(Ljava/lang/String;ILjava/lang/String;)I|,||,||,||,||,||
|Lcom/android/okhttp/internal/http/HeaderParser;->skipWhitespace(Ljava/lang/String;I)I|,||,||,||,||,||
|Lcom/android/okhttp/internal/http/HttpDate;->format(Ljava/util/Date;)Ljava/lang/String;|,||,||,||,||,||
|Lcom/android/okhttp/internal/http/HttpDate;->parse(Ljava/lang/String;)Ljava/util/Date;|,||,||,||,||,||
|Lcom/android/okhttp/internal/http/HttpEngine;->getConnection()Lcom/android/okhttp/Connection;|,||,||,||,||,||
|Lcom/android/okhttp/internal/http/HttpEngine;->hasResponse()Z|,||,||,||,||,||
|Lcom/android/okhttp/internal/http/HttpEngine;->httpStream:Lcom/android/okhttp/internal/http/HttpStream;|,||,||,||,||,||
|Lcom/android/okhttp/internal/http/HttpEngine;->networkRequest(Lcom/android/okhttp/Request;)Lcom/android/okhttp/Request;|,||,||,||,||,||
|Lcom/android/okhttp/internal/http/HttpEngine;->networkRequest:Lcom/android/okhttp/Request;|,||,||,||,||,||
|Lcom/android/okhttp/internal/http/HttpEngine;->priorResponse:Lcom/android/okhttp/Response;|,||,||,||,||,||
|Lcom/android/okhttp/internal/http/HttpEngine;->readResponse()V|,||,||,||,||,||
|Lcom/android/okhttp/internal/http/HttpEngine;->sendRequest()V|,||,||,||,||,||
|Lcom/android/okhttp/internal/http/HttpEngine;->sentRequestMillis:J|,||,||,||,||,||
|Lcom/android/okhttp/internal/http/HttpEngine;->userResponse:Lcom/android/okhttp/Response;|,||,||,||,||,||
|Lcom/android/okhttp/internal/http/HttpEngine;->writingRequestHeaders()V|,||,||,||,||,||
|Lcom/android/okhttp/internal/http/RouteSelector;->hasNext()Z|,||,||,||,||,||
|Lcom/android/okhttp/internal/huc/HttpURLConnectionImpl;->client:Lcom/android/okhttp/OkHttpClient;|,||,||,||,||,||
|Lcom/android/okhttp/internal/huc/HttpURLConnectionImpl;->httpEngine:Lcom/android/okhttp/internal/http/HttpEngine;|,||,||,||,||,||
|Lcom/android/okhttp/internal/huc/HttpsURLConnectionImpl;->delegate:Lcom/android/okhttp/internal/huc/HttpURLConnectionImpl;|,||,||,||,||,||
|Lcom/android/org/bouncycastle/asn1/ASN1EncodableVector;-><init>()V|,||,||,||,||,||
|Lcom/android/org/bouncycastle/asn1/ASN1EncodableVector;->add(Lcom/android/org/bouncycastle/asn1/ASN1Encodable;)V|,||,||,||,||,||
|Lcom/android/org/bouncycastle/asn1/ASN1InputStream;-><init>(Ljava/io/InputStream;)V|,|30|,||,||,||,|170729553|
|Lcom/android/org/bouncycastle/asn1/ASN1InputStream;-><init>([B)V|,||,||,||,||,||
|Lcom/android/org/bouncycastle/asn1/ASN1InputStream;->readObject()Lcom/android/org/bouncycastle/asn1/ASN1Primitive;|,||,||,||,||,||
|Lcom/android/org/bouncycastle/asn1/ASN1Integer;-><init>(Ljava/math/BigInteger;)V|,||,||,||,||,||
|Lcom/android/org/bouncycastle/asn1/DERBitString;-><init>([B)V|,||,||,||,||,||
|Lcom/android/org/bouncycastle/asn1/DEREncodableVector;-><init>()V|,|30|,||,||,||,|170729553|
|Lcom/android/org/bouncycastle/asn1/DERInteger;-><init>(J)V|,||,||,||,||,||
|Lcom/android/org/bouncycastle/asn1/DERInteger;-><init>(Ljava/math/BigInteger;)V|,|30|,||,||,||,|170729553|
|Lcom/android/org/bouncycastle/asn1/DERNull;->INSTANCE:Lcom/android/org/bouncycastle/asn1/DERNull;|,||,||,||,||,||
|Lcom/android/org/bouncycastle/asn1/DERObjectIdentifier;-><init>(Ljava/lang/String;)V|,|30|,||,||,||,|170729553|
|Lcom/android/org/bouncycastle/asn1/DEROctetString;-><init>([B)V|,|30|,||,||,||,|170729553|
|Lcom/android/org/bouncycastle/asn1/DEROutputStream;-><init>(Ljava/io/OutputStream;)V|,|30|,||,||,||,|170729553|
|Lcom/android/org/bouncycastle/asn1/DERSequence;-><init>()V|,||,||,||,||,||
|Lcom/android/org/bouncycastle/asn1/DERSequence;-><init>(Lcom/android/org/bouncycastle/asn1/ASN1EncodableVector;)V|,||,||,||,||,||
|Lcom/android/org/bouncycastle/asn1/DERSet;-><init>(Lcom/android/org/bouncycastle/asn1/ASN1EncodableVector;)V|,|30|,||,||,||,|170729553|
|Lcom/android/org/bouncycastle/asn1/pkcs/PKCSObjectIdentifiers;->sha256WithRSAEncryption:Lcom/android/org/bouncycastle/asn1/ASN1ObjectIdentifier;|,||,||,||,||,||
|Lcom/android/org/bouncycastle/asn1/x509/AlgorithmIdentifier;-><init>(Lcom/android/org/bouncycastle/asn1/ASN1ObjectIdentifier;)V|,||,||,||,||,||
|Lcom/android/org/bouncycastle/asn1/x509/AlgorithmIdentifier;-><init>(Lcom/android/org/bouncycastle/asn1/ASN1ObjectIdentifier;Lcom/android/org/bouncycastle/asn1/ASN1Encodable;)V|,||,||,||,||,||
|Lcom/android/org/bouncycastle/asn1/x509/Certificate;->getInstance(Ljava/lang/Object;)Lcom/android/org/bouncycastle/asn1/x509/Certificate;|,||,||,||,||,||
|Lcom/android/org/bouncycastle/asn1/x509/DigestInfo;-><init>(Lcom/android/org/bouncycastle/asn1/x509/AlgorithmIdentifier;[B)V|,|30|,||,||,||,|170729553|
|Lcom/android/org/bouncycastle/asn1/x509/SubjectPublicKeyInfo;->getInstance(Ljava/lang/Object;)Lcom/android/org/bouncycastle/asn1/x509/SubjectPublicKeyInfo;|,||,||,||,||,||
|Lcom/android/org/bouncycastle/asn1/x509/Time;-><init>(Ljava/util/Date;)V|,||,||,||,||,||
|Lcom/android/org/bouncycastle/asn1/x509/V3TBSCertificateGenerator;-><init>()V|,||,||,||,||,||
|Lcom/android/org/bouncycastle/asn1/x509/V3TBSCertificateGenerator;->generateTBSCertificate()Lcom/android/org/bouncycastle/asn1/x509/TBSCertificate;|,||,||,||,||,||
|Lcom/android/org/bouncycastle/asn1/x509/V3TBSCertificateGenerator;->setEndDate(Lcom/android/org/bouncycastle/asn1/x509/Time;)V|,||,||,||,||,||
|Lcom/android/org/bouncycastle/asn1/x509/V3TBSCertificateGenerator;->setIssuer(Lcom/android/org/bouncycastle/asn1/x509/X509Name;)V|,||,||,||,||,||
|Lcom/android/org/bouncycastle/asn1/x509/V3TBSCertificateGenerator;->setSerialNumber(Lcom/android/org/bouncycastle/asn1/ASN1Integer;)V|,||,||,||,||,||
|Lcom/android/org/bouncycastle/asn1/x509/V3TBSCertificateGenerator;->setSignature(Lcom/android/org/bouncycastle/asn1/x509/AlgorithmIdentifier;)V|,||,||,||,||,||
|Lcom/android/org/bouncycastle/asn1/x509/V3TBSCertificateGenerator;->setStartDate(Lcom/android/org/bouncycastle/asn1/x509/Time;)V|,||,||,||,||,||
|Lcom/android/org/bouncycastle/asn1/x509/V3TBSCertificateGenerator;->setSubject(Lcom/android/org/bouncycastle/asn1/x509/X509Name;)V|,||,||,||,||,||
|Lcom/android/org/bouncycastle/asn1/x509/V3TBSCertificateGenerator;->setSubjectPublicKeyInfo(Lcom/android/org/bouncycastle/asn1/x509/SubjectPublicKeyInfo;)V|,||,||,||,||,||
|Lcom/android/org/bouncycastle/asn1/x509/X509Name;-><init>(Lcom/android/org/bouncycastle/asn1/ASN1Sequence;)V|,|30|,||,||,||,|170729553|
|Lcom/android/org/bouncycastle/asn1/x509/X509Name;-><init>(Ljava/lang/String;)V|,||,||,||,||,||
|Lcom/android/org/bouncycastle/asn1/x509/X509Name;->CN:Lcom/android/org/bouncycastle/asn1/ASN1ObjectIdentifier;|,|30|,||,||,||,|170729553|
|Lcom/android/org/bouncycastle/asn1/x509/X509Name;->getOIDs()Ljava/util/Vector;|,|30|,||,||,||,|170729553|
|Lcom/android/org/bouncycastle/asn1/x509/X509Name;->getValues()Ljava/util/Vector;|,|30|,||,||,||,|170729553|
|Lcom/android/org/bouncycastle/asn1/x9/X9ObjectIdentifiers;->ecdsa_with_SHA256:Lcom/android/org/bouncycastle/asn1/ASN1ObjectIdentifier;|,||,||,||,||,||
|Lcom/android/org/bouncycastle/jce/X509Principal;-><init>([B)V|,||,||,||,||,||
|Lcom/android/org/bouncycastle/jce/provider/BouncyCastleProvider;-><init>()V|,||,||,||,||,||
|Lcom/android/org/bouncycastle/jce/provider/X509CertificateObject;-><init>(Lcom/android/org/bouncycastle/asn1/x509/Certificate;)V|,||,||,||,||,||
|Lcom/android/org/bouncycastle/x509/X509V3CertificateGenerator;-><init>()V|,||,||,||,||,||
|Lcom/android/org/bouncycastle/x509/X509V3CertificateGenerator;->generate(Ljava/security/PrivateKey;)Ljava/security/cert/X509Certificate;|,||,||,||,||,||
|Lcom/android/org/bouncycastle/x509/X509V3CertificateGenerator;->setIssuerDN(Lcom/android/org/bouncycastle/asn1/x509/X509Name;)V|,||,||,||,||,||
|Lcom/android/org/bouncycastle/x509/X509V3CertificateGenerator;->setIssuerDN(Ljavax/security/auth/x500/X500Principal;)V|,||,||,||,||,||
|Lcom/android/org/bouncycastle/x509/X509V3CertificateGenerator;->setNotAfter(Ljava/util/Date;)V|,||,||,||,||,||
|Lcom/android/org/bouncycastle/x509/X509V3CertificateGenerator;->setNotBefore(Ljava/util/Date;)V|,||,||,||,||,||
|Lcom/android/org/bouncycastle/x509/X509V3CertificateGenerator;->setPublicKey(Ljava/security/PublicKey;)V|,||,||,||,||,||
|Lcom/android/org/bouncycastle/x509/X509V3CertificateGenerator;->setSerialNumber(Ljava/math/BigInteger;)V|,||,||,||,||,||
|Lcom/android/org/bouncycastle/x509/X509V3CertificateGenerator;->setSignatureAlgorithm(Ljava/lang/String;)V|,||,||,||,||,||
|Lcom/android/org/bouncycastle/x509/X509V3CertificateGenerator;->setSubjectDN(Lcom/android/org/bouncycastle/asn1/x509/X509Name;)V|,||,||,||,||,||
|Lcom/android/org/bouncycastle/x509/X509V3CertificateGenerator;->setSubjectDN(Ljavax/security/auth/x500/X500Principal;)V|,||,||,||,||,||
|Lcom/sun/nio/file/ExtendedWatchEventModifier;->FILE_TREE:Lcom/sun/nio/file/ExtendedWatchEventModifier;|,||,||,||,||,||
|Ldalvik/system/BaseDexClassLoader;-><init>(Ljava/lang/String;Ljava/io/File;Ljava/lang/String;Ljava/lang/ClassLoader;Z)V|,||,||,||,||,||
|Ldalvik/system/BaseDexClassLoader;->addDexPath(Ljava/lang/String;)V|,||,||,||,||,||
|Ldalvik/system/BaseDexClassLoader;->addDexPath(Ljava/lang/String;Z)V|,||,||,||,||,||
|Ldalvik/system/BaseDexClassLoader;->getLdLibraryPath()Ljava/lang/String;|,||,||,||,||,||
|Ldalvik/system/BaseDexClassLoader;->pathList:Ldalvik/system/DexPathList;|,||,||,||,||,||
|Ldalvik/system/BlockGuard$BlockGuardPolicyException;-><init>(IILjava/lang/String;)V|,||,||,||,||,||
|Ldalvik/system/BlockGuard$BlockGuardPolicyException;->mMessage:Ljava/lang/String;|,||,||,||,||,||
|Ldalvik/system/BlockGuard$BlockGuardPolicyException;->mPolicyState:I|,||,||,||,||,||
|Ldalvik/system/BlockGuard$BlockGuardPolicyException;->mPolicyViolated:I|,||,||,||,||,||
|Ldalvik/system/BlockGuard$Policy;->onNetwork()V|,||,||,||,||,||
|Ldalvik/system/BlockGuard$Policy;->onReadFromDisk()V|,||,||,||,||,||
|Ldalvik/system/BlockGuard;->LAX_POLICY:Ldalvik/system/BlockGuard$Policy;|,||,||,||,||,||
|Ldalvik/system/BlockGuard;->getThreadPolicy()Ldalvik/system/BlockGuard$Policy;|,||,||,||,||,||
|Ldalvik/system/BlockGuard;->setThreadPolicy(Ldalvik/system/BlockGuard$Policy;)V|,||,||,||,||,||
|Ldalvik/system/BlockGuard;->threadPolicy:Ljava/lang/ThreadLocal;|,||,||,||,||,||
|Ldalvik/system/CloseGuard$DefaultReporter;-><init>()V|,||,||,||,||,||
|Ldalvik/system/CloseGuard$Reporter;->report(Ljava/lang/String;Ljava/lang/Throwable;)V|,||,||,||,||,||
|Ldalvik/system/CloseGuard;-><init>()V|,||,||,||,||,||
|Ldalvik/system/CloseGuard;->close()V|,||,||,||,||,||
|Ldalvik/system/CloseGuard;->get()Ldalvik/system/CloseGuard;|,||,||,||,||,|111170242|
|Ldalvik/system/CloseGuard;->open(Ljava/lang/String;)V|,||,||,||,||,|111170242|
|Ldalvik/system/CloseGuard;->setEnabled(Z)V|,||,||,||,||,||
|Ldalvik/system/CloseGuard;->setReporter(Ldalvik/system/CloseGuard$Reporter;)V|,||,||,||,||,||
|Ldalvik/system/CloseGuard;->warnIfOpen()V|,||,||,||,||,|111170242|
|Ldalvik/system/DexFile$DFEnum;->mNameList:[Ljava/lang/String;|,||,||,||,||,||
|Ldalvik/system/DexFile;->getClassNameList(Ljava/lang/Object;)[Ljava/lang/String;|,||,||,||,||,||
|Ldalvik/system/DexFile;->isBackedByOatFile()Z|,||,||,||,||,||
|Ldalvik/system/DexFile;->loadClassBinaryName(Ljava/lang/String;Ljava/lang/ClassLoader;Ljava/util/List;)Ljava/lang/Class;|,||,||,||,||,||
|Ldalvik/system/DexFile;->loadDex(Ljava/lang/String;Ljava/lang/String;ILjava/lang/ClassLoader;[Ldalvik/system/DexPathList$Element;)Ldalvik/system/DexFile;|,||,||,||,||,||
|Ldalvik/system/DexFile;->mCookie:Ljava/lang/Object;|,||,||,||,||,||
|Ldalvik/system/DexFile;->mFileName:Ljava/lang/String;|,||,||,||,||,||
|Ldalvik/system/DexFile;->mInternalCookie:Ljava/lang/Object;|,||,||,||,||,||
|Ldalvik/system/DexFile;->openDexFile(Ljava/lang/String;Ljava/lang/String;ILjava/lang/ClassLoader;[Ldalvik/system/DexPathList$Element;)Ljava/lang/Object;|,||,||,||,||,||
|Ldalvik/system/DexFile;->openDexFileNative(Ljava/lang/String;Ljava/lang/String;ILjava/lang/ClassLoader;[Ldalvik/system/DexPathList$Element;)Ljava/lang/Object;|,||,||,||,||,||
|Ldalvik/system/DexPathList$Element;-><init>(Ldalvik/system/DexFile;Ljava/io/File;)V|,||,||,||,||,||
|Ldalvik/system/DexPathList$Element;-><init>(Ljava/io/File;ZLjava/io/File;Ldalvik/system/DexFile;)V|,||,||,||,||,||
|Ldalvik/system/DexPathList$Element;->dexFile:Ldalvik/system/DexFile;|,||,||,||,||,||
|Ldalvik/system/DexPathList$Element;->path:Ljava/io/File;|,||,||,||,||,||
|Ldalvik/system/DexPathList$NativeLibraryElement;-><init>(Ljava/io/File;)V|,||,||,||,||,||
|Ldalvik/system/DexPathList$NativeLibraryElement;->path:Ljava/io/File;|,||,||,||,||,||
|Ldalvik/system/DexPathList;-><init>(Ljava/lang/ClassLoader;Ljava/lang/String;Ljava/lang/String;Ljava/io/File;)V|,||,||,||,||,||
|Ldalvik/system/DexPathList;->addDexPath(Ljava/lang/String;Ljava/io/File;)V|,||,||,||,||,||
|Ldalvik/system/DexPathList;->addNativePath(Ljava/util/Collection;)V|,||,||,||,||,||
|Ldalvik/system/DexPathList;->definingContext:Ljava/lang/ClassLoader;|,||,||,||,||,||
|Ldalvik/system/DexPathList;->dexElements:[Ldalvik/system/DexPathList$Element;|,||,||,||,||,||
|Ldalvik/system/DexPathList;->dexElementsSuppressedExceptions:[Ljava/io/IOException;|,||,||,||,||,||
|Ldalvik/system/DexPathList;->loadDexFile(Ljava/io/File;Ljava/io/File;Ljava/lang/ClassLoader;[Ldalvik/system/DexPathList$Element;)Ldalvik/system/DexFile;|,||,||,||,||,||
|Ldalvik/system/DexPathList;->makeDexElements(Ljava/util/List;Ljava/io/File;Ljava/util/List;Ljava/lang/ClassLoader;)[Ldalvik/system/DexPathList$Element;|,||,||,||,||,||
|Ldalvik/system/DexPathList;->makeInMemoryDexElements([Ljava/nio/ByteBuffer;Ljava/util/List;)[Ldalvik/system/DexPathList$Element;|,||,||,||,||,||
|Ldalvik/system/DexPathList;->makePathElements(Ljava/util/List;)[Ldalvik/system/DexPathList$NativeLibraryElement;|,||,||,||,||,||
|Ldalvik/system/DexPathList;->makePathElements(Ljava/util/List;Ljava/io/File;Ljava/util/List;)[Ldalvik/system/DexPathList$Element;|,||,||,||,||,||
|Ldalvik/system/DexPathList;->nativeLibraryDirectories:Ljava/util/List;|,||,||,||,||,||
|Ldalvik/system/DexPathList;->nativeLibraryPathElements:[Ldalvik/system/DexPathList$NativeLibraryElement;|,||,||,||,||,||
|Ldalvik/system/DexPathList;->splitPaths(Ljava/lang/String;Z)Ljava/util/List;|,||,||,||,||,||
|Ldalvik/system/DexPathList;->systemNativeLibraryDirectories:Ljava/util/List;|,||,||,||,||,||
|Ldalvik/system/SocketTagger;->get()Ldalvik/system/SocketTagger;|,||,||,||,||,||
|Ldalvik/system/SocketTagger;->tag(Ljava/net/Socket;)V|,||,||,||,||,||
|Ldalvik/system/SocketTagger;->untag(Ljava/net/Socket;)V|,||,||,||,||,||
|Ldalvik/system/VMDebug;->allowHiddenApiReflectionFrom(Ljava/lang/Class;)V|,||,||,||,||,||
|Ldalvik/system/VMDebug;->dumpReferenceTables()V|,||,||,||,||,||
|Ldalvik/system/VMDebug;->isDebuggerConnected()Z|,||,||,||,||,||
|Ldalvik/system/VMRuntime;->addressOf(Ljava/lang/Object;)J|,||,||,||,||,||
|Ldalvik/system/VMRuntime;->clearGrowthLimit()V|,||,||,||,||,||
|Ldalvik/system/VMRuntime;->gcSoftReferences()V|,||,||,||,||,||
|Ldalvik/system/VMRuntime;->getCurrentInstructionSet()Ljava/lang/String;|,||,||,||,||,||
|Ldalvik/system/VMRuntime;->getExternalBytesAllocated()J|,||,||,||,||,||
|Ldalvik/system/VMRuntime;->getInstructionSet(Ljava/lang/String;)Ljava/lang/String;|,||,||,||,||,||
|Ldalvik/system/VMRuntime;->getMinimumHeapSize()J|,||,||,||,||,||
