signature,maxTargetSdk,publicAlternatives,trackingBug
|Landroid/bluetooth/BluetoothMapClient;->sendMessage(Landroid/bluetooth/BluetoothDevice;[Landroid/net/Uri;Ljava/lang/String;Landroid/app/PendingIntent;Landroid/app/PendingIntent;)Z|,|30|,||,|170729553|
|Landroid/bluetooth/BluetoothPan;-><init>(Landroid/content/Context;Landroid/bluetooth/BluetoothAdapter;)V|,||,||,||
|Landroid/bluetooth/BluetoothPan;->close()V|,||,||,||
|Landroid/bluetooth/BluetoothPan;->connect(Landroid/bluetooth/BluetoothDevice;)Z|,|30|,||,|170729553|
|Landroid/bluetooth/BluetoothPan;->disconnect(Landroid/bluetooth/BluetoothDevice;)Z|,||,||,||
|Landroid/bluetooth/BluetoothPan;->isEnabled()Z|,||,||,||
|Landroid/bluetooth/BluetoothPan;->isValidDevice(Landroid/bluetooth/BluetoothDevice;)Z|,||,||,||
|Landroid/bluetooth/BluetoothPan;->log(Ljava/lang/String;)V|,||,||,||
|Landroid/bluetooth/BluetoothPbap;->disconnect(Landroid/bluetooth/BluetoothDevice;)Z|,|30|,||,|170729553|
|Landroid/bluetooth/BluetoothProfile;->PRIORITY_AUTO_CONNECT:I|,|30|,||,|170729553|
|Landroid/bluetooth/BluetoothProfile;->PRIORITY_UNDEFINED:I|,||,||,||
|Landroid/bluetooth/BluetoothSap;->disconnect(Landroid/bluetooth/BluetoothDevice;)Z|,|30|,||,|170729553|
|Landroid/bluetooth/BluetoothServerSocket;->mSocket:Landroid/bluetooth/BluetoothSocket;|,||,|Use public {@link BluetoothServerSocket} API instead.|,||
|Landroid/bluetooth/BluetoothSocket;->EADDRINUSE:I|,|30|,||,|170729553|
|Landroid/bluetooth/BluetoothSocket;->mPfd:Landroid/os/ParcelFileDescriptor;|,||,|Use {@link BluetoothSocket} public API instead.|,||
|Landroid/bluetooth/BluetoothSocket;->mPort:I|,||,||,||
|Landroid/bluetooth/BluetoothSocket;->mSocket:Landroid/net/LocalSocket;|,||,||,||
|Landroid/bluetooth/BluetoothUuid;->is16BitUuid(Landroid/os/ParcelUuid;)Z|,||,||,||
|Landroid/bluetooth/BluetoothUuid;->is32BitUuid(Landroid/os/ParcelUuid;)Z|,||,||,||
|Landroid/bluetooth/le/ScanRecord;->parseFromBytes([B)Landroid/bluetooth/le/ScanRecord;|,||,||,||
